,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2020,NFL,Arizona Cardinals,6,5,0,3rd of 4,,304,258,46,Kingsbury,,Murray,Drake,Hopkins,8,2,14,15,15,10,6,32,4.2,-1.9,2.3,1.6,0.7
2019,NFL,Arizona Cardinals,5,10,1,4th of 4,,361,442,-81,Kingsbury,Murray,Murray,Drake,Fitzgerald,16,21,28,32,18,23,29,32,-5.1,1.8,-3.2,-0.3,-2.9
2018,NFL,Arizona Cardinals,3,13,0,4th of 4,,225,425,-200,Wilks,Peterson,Rosen,Johnson,Fitzgerald,32,32,26,20,29,32,32,32,-12.5,1.0,-11.5,-9.6,-1.9
2017,NFL,Arizona Cardinals,8,8,0,3rd of 4,,295,361,-66,Arians,Jones,Palmer,Peterson,Fitzgerald,25,22,19,6,23,24,15,32,-4.1,0.4,-3.7,-4.0,0.2
2016,NFL,Arizona Cardinals,7,8,1,2nd of 4,,418,362,56,Arians,Campbell,Palmer,Johnson,Fitzgerald,6,9,14,2,17,7,1,32,3.5,-1.9,1.6,2.4,-0.8
2015,NFL,Arizona Cardinals*,13,3,0,1st of 4,Lost Conf,489,313,176,Arians,Palmer,Palmer,Johnson,Fitzgerald,2,1,7,5,4,2,2,32,11.0,1.3,12.3,9.0,3.4
2014,NFL,Arizona Cardinals*,11,5,0,2nd of 4,Lost WC,310,299,11,Arians,Campbell,Stanton,Ellington,Floyd,24,24,5,24,5,16,27,32,0.7,1.3,2.0,-2.4,4.4
2013,NFL,Arizona Cardinals,10,6,0,3rd of 4,,379,324,55,Arians,Dansby,Palmer,Mendenhall,Floyd,16,12,7,6,17,10,7,32,3.4,3.0,6.4,2.7,3.7
2012,NFL,Arizona Cardinals,5,11,0,4th of 4,,250,357,-107,Whisenhunt,Washington,Kolb,Stephens-Howling,Fitzgerald,31,32,17,12,17,27,31,32,-6.7,3.5,-3.2,-4.8,1.6
2011,NFL,Arizona Cardinals,8,8,0,2nd of 4,,312,348,-36,Whisenhunt,Peterson,Kolb,Wells,Fitzgerald,24,19,17,18,28,21,25,32,-2.3,0.0,-2.2,-1.7,-0.5
2010,NFL,Arizona Cardinals,5,11,0,4th of 4,,289,434,-145,Whisenhunt,Dockett,Anderson,Hightower,Fitzgerald,26,31,30,29,22,31,32,32,-9.1,-3.6,-12.7,-5.6,-7.1
2009,NFL,Arizona Cardinals*,10,6,0,1st of 4,Lost Div,375,325,50,Whisenhunt,Dockett,Warner,Wells,Fitzgerald,11,14,14,20,24,12,17,32,3.1,-3.4,-0.3,0.1,-0.4
2008,NFL,Arizona Cardinals*,9,7,0,1st of 4,Lost SB,427,426,1,Whisenhunt,Warner,Warner,James,Fitzgerald,3,4,28,19,17,18,11,32,0.1,-1.9,-1.9,4.1,-6.0
