,,,,,,,,Points,Points,Points,,Top Players,Top Players,Top Players,Top Players,Off Rank,Off Rank,Def Rank,Def Rank,Overall Rank,Overall Rank,Overall Rank,Overall Rank,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System,Simple Rating System
Year,Lg,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2020,NFL,Detroit Lions,4,7,0,4th of 4,,252,328,-76,PatriciaBevell,,Stafford,Peterson,Hockenson,22,20,31,29,21,28,28,32,-6.9,0.7,-6.2,-1.3,-4.9
2019,NFL,Detroit Lions,3,12,1,4th of 4,,341,423,-82,Patricia,Golladay,Stafford,Johnson,Golladay,18,17,26,31,24,24,28,32,-5.1,-0.1,-5.2,-1.2,-4.0
2018,NFL,Detroit Lions,6,10,0,4th of 4,,324,360,-36,Patricia,Stafford,Stafford,Johnson,Golladay,25,24,16,10,23,21,21,32,-2.3,-0.8,-3.0,-3.3,0.3
2017,NFL,Detroit Lions,9,7,0,2nd of 4,,410,376,34,Caldwell,Stafford,Stafford,Abdullah,Jones,7,13,21,27,5,13,19,32,2.1,0.6,2.7,5.2,-2.5
2016,NFL,Detroit Lions*,9,7,0,2nd of 4,Lost WC,346,358,-12,Caldwell,Stafford,Stafford,Riddick,Tate,20,21,13,18,20,21,24,32,-0.8,-0.6,-1.4,-1.3,-0.1
2015,NFL,Detroit Lions,7,9,0,3rd of 4,,358,400,-42,Caldwell,Stafford,Stafford,Abdullah,Johnson,18,20,23,18,22,18,17,32,-2.6,2.4,-0.2,1.0,-1.3
2014,NFL,Detroit Lions*,11,5,0,2nd of 4,Lost WC,321,282,39,Caldwell,Suh,Stafford,Bell,Tate,22,19,3,2,6,13,5,32,2.4,-0.4,2.1,-3.2,5.2
2013,NFL,Detroit Lions,7,9,0,3rd of 4,,395,376,19,Schwartz,Suh,Stafford,Bush,Johnson,13,6,15,16,28,13,5,32,1.2,-2.8,-1.6,-1.2,-0.5
2012,NFL,Detroit Lions,4,12,0,4th of 4,,372,437,-65,Schwartz,Johnson,Stafford,Leshoure,Johnson,17,3,27,13,30,23,2,32,-4.1,1.8,-2.3,2.1,-4.4
2011,NFL,Detroit Lions*,10,6,0,2nd of 4,Lost WC,474,387,87,Schwartz,Stafford,Stafford,Best,Johnson,4,5,23,23,4,8,9,32,5.4,0.6,6.1,6.9,-0.8
2010,NFL,Detroit Lions,6,10,0,3rd of 4,,362,369,-7,Schwartz,Suh,Hill,Best,Johnson,15,17,19,21,11,17,20,32,-0.4,2.3,1.9,2.4,-0.5
2009,NFL,Detroit Lions,2,14,0,4th of 4,,262,494,-232,Schwartz,Backus,Stafford,Smith,Johnson,27,26,32,32,32,31,29,32,-14.5,0.1,-14.4,-5.2,-9.2
2008,NFL,Detroit Lions,0,16,0,4th of 4,,268,517,-249,Marinelli,Johnson,Orlovsky,Smith,Johnson,27,30,32,32,28,32,32,32,-15.6,2.5,-13.1,-4.0,-9.1
2007,NFL,Detroit Lions,7,9,0,3rd of 4,,346,444,-98,Marinelli,Kitna,Kitna,Jones,McDonald,16,19,32,32,17,24,29,32,-6.1,2.6,-3.6,1.4,-5.0
2006,NFL,Detroit Lions,3,13,0,4th of 4,,305,398,-93,Marinelli,Kitna,Kitna,Jones,Williams,21,22,30,28,29,27,24,32,-5.8,-0.5,-6.4,-1.8,-4.6
2005,NFL,Detroit Lions,5,11,0,3rd of 4,,254,345,-91,MariucciJauron,Rogers,Harrington,Jones,Williams,28,27,21,20,14,25,28,32,-5.7,-1.0,-6.7,-4.3,-2.4
2004,NFL,Detroit Lions,6,10,0,3rd of 4,,296,350,-54,Mariucci,Rogers,Harrington,Jones,Williams,24,24,18,22,14,23,27,32,-3.4,-1.8,-5.2,-3.8,-1.4
2003,NFL,Detroit Lions,5,11,0,4th of 4,,270,379,-109,Mariucci,Bly,Harrington,Bryson,Hakim,26,32,25,24,14,26,29,32,-6.8,1.0,-5.8,-4.3,-1.6
2002,NFL,Detroit Lions,3,13,0,4th of 4,,306,451,-145,Mornhinweg,Stewart,Harrington,Stewart,Schroeder,26,28,31,31,23,30,31,32,-9.1,-0.1,-9.2,-2.5,-6.7
2001,NFL,Detroit Lions,2,14,0,5th of 5,,270,424,-154,Mornhinweg,Backus,Batch,Stewart,Morton,26,16,30,26,30,29,27,31,-9.6,2.4,-7.2,-2.0,-5.2
2000,NFL,Detroit Lions,9,7,0,4th of 5,,307,307,0,RossMoeller,Boyd,Batch,Stewart,Morton,22,27,11,14,7,18,21,31,0.0,1.4,1.4,-0.1,1.5
1999,NFL,Detroit Lions*,8,8,0,3rd of 5,Lost WC,322,323,-1,Ross,Crowell,Frerotte,Hill,Crowell,15,21,14,18,6,17,25,31,-0.1,2.0,1.9,0.1,1.8
1998,NFL,Detroit Lions,5,11,0,4th of 5,,306,378,-72,Ross,Sanders,Batch,Sanders,Morton,20,14,24,15,20,22,14,30,-4.5,1.1,-3.4,-1.9,-1.5
1997,NFL,Detroit Lions*,9,7,0,3rd of 5,Lost WC,379,306,73,Ross,Sanders,Mitchell,Sanders,Moore,4,2,10,14,19,7,4,30,4.6,-0.6,4.0,3.0,0.9
1996,NFL,Detroit Lions,5,11,0,5th of 5,,302,368,-66,Fontes,Moore,Mitchell,Sanders,Moore,21,20,22,20,24,22,20,30,-4.1,1.2,-2.9,-0.4,-2.5
1995,NFL,Detroit Lions*,10,6,0,2nd of 5,Lost WC,436,336,100,Fontes,Moore,Mitchell,Sanders,Moore,2,1,14,23,3,4,7,30,6.3,0.6,6.9,5.9,1.0
1994,NFL,Detroit Lions*,9,7,0,3rd of 5,Lost WC,357,342,15,Fontes,Sanders,Krieg,Sanders,Moore,6,15,19,24,15,11,18,28,0.9,1.4,2.4,2.8,-0.4
1993,NFL,Detroit Lions*,10,6,0,1st of 5,Lost WC,298,292,6,Fontes,Crockett,Peete,Sanders,Moore,16,24,15,6,11,13,16,28,0.4,-0.7,-0.3,-0.3,0.0
1992,NFL,Detroit Lions,5,11,0,5th of 5,,273,332,-59,Fontes,Sanders,Peete,Sanders,Moore,19,19,20,20,19,16,20,28,-3.7,1.8,-1.9,-0.7,-1.1
1991,NFL,Detroit Lions*,12,4,0,1st of 5,Lost Conf,339,295,44,Fontes,Sanders,Kramer,Sanders,Perriman,9,17,11,15,7,8,18,28,2.8,-1.8,1.0,0.9,0.0
